"id_person_unique","id_fam1968","employed","emp_2023","sex","age_2021","emp_2021","educ_yrs_2021","days_unemp_2021","flourish_2021","soc_anxiety_2021","fam_expend_2021","female","emp_2021_working","log_fam_expend_2021","age_2023","food_ranout_2023","food_notlast_2023"
"2391_33",2391,1,1,1,20,1,12,0,11,3,51315.87,0,1,10.8457748270021,22,3,3
"2391_174",2391,1,1,1,26,1,15,NA,NA,NA,30211.08,0,1,10.3159971233843,28,NA,NA
"2392_37",2392,1,1,1,25,1,11,0,11,4,46792,0,1,10.7534888980691,27,NA,NA
"2397_37",2397,1,1,1,25,1,16,0,13,3,96048.02,0,1,11.4726139651254,27,NA,NA
"2397_38",2397,1,1,2,24,1,16,0,12,3,66210.86,1,1,11.1006148799575,26,NA,NA
"2397_43",2397,1,1,2,20,7,15,0,15,4,58010,1,0,10.9683879267187,22,NA,NA
"2410_33",2410,1,1,2,24,1,15,0,14,4,28309.04,1,1,10.2509717910332,26,NA,NA
"2410_35",2410,0,3,1,20,3,11,0,NA,2,26156,0,0,10.1718721200959,23,3,3
"2411_33",2411,1,1,2,20,1,12,0,11,5,32480,1,1,10.388410581979,22,2,2
"2412_33",2412,1,1,2,25,1,12,0,10,4,28088.15,1,1,10.2431386597615,27,NA,NA
"2418_35",2418,1,1,2,18,7,12,0,14,3,74155.65,1,0,11.2139350266196,20,3,3
"2422_40",2422,1,1,1,19,7,12,0,13,3,109588.12,0,0,11.6044933784955,21,NA,NA
"2422_41",2422,1,1,1,17,7,11,NA,NA,NA,109588.12,0,0,11.6044933784955,18,NA,NA
"2432_53",2432,1,1,1,25,3,11,0,8,3,28927.94,0,0,10.272597757133,27,NA,NA
"2432_54",2432,1,1,1,25,1,12,0,15,2,54378.18,0,1,10.9037366389996,27,NA,NA
"2432_56",2432,1,1,1,23,1,13,0,8,4,21903.22,0,1,9.9944345913054,25,NA,NA
"2432_63",2432,1,1,2,17,6,10,0,NA,4,88251.39,1,0,11.3879560565818,20,NA,NA
"2432_64",2432,1,1,2,18,1,12,0,12,5,15783.77,1,1,9.66680083009088,19,NA,NA
"2434_33",2434,0,3,1,22,3,12,NA,NA,NA,21280,0,0,9.96556993483267,25,NA,NA
"2434_35",2434,0,3,1,18,3,10,0,8,4,21280,0,0,9.96556993483267,21,NA,NA
"2434_36",2434,1,1,2,19,1,14,0,8,5,51000,1,1,10.8396005193574,21,NA,NA
"2435_34",2435,1,1,2,26,1,12,0,14,3,58318.6,1,1,10.9736935079485,27,NA,NA
"2436_40",2436,1,2,1,24,2,11,0,16,3,10380,0,1,9.24773249119325,25,NA,NA
"2436_41",2436,1,1,2,22,1,12,0,14,2,24840,1,1,10.1202507928861,24,NA,NA
"2455_32",2455,1,1,1,24,1,16,0,16,3,51696.3,0,1,10.8531608347614,25,NA,NA
"2461_32",2461,1,1,1,24,1,12,0,14,2,50251.22,0,1,10.8248100040499,26,NA,NA
"2461_33",2461,1,1,1,24,1,12,0,17,1,42500,0,1,10.6572828840475,26,NA,NA
"2464_32",2464,1,1,2,25,1,12,0,13,3,42352,1,1,10.6537945358239,27,NA,NA
"2464_34",2464,1,1,2,20,1,13,0,NA,3,120520,1,1,11.6995792905878,22,NA,NA
"2472_178",2472,1,1,2,25,3,12,0,10,4,65484.28,1,0,11.0895806635427,27,2,2
"2475_32",2475,1,1,2,16,3,9,NA,NA,NA,32093.27,1,0,10.3764327885114,18,NA,NA
"2478_33",2478,1,1,1,24,1,12,0,15,3,118109.48,0,1,11.6793757366058,26,3,3
"2478_34",2478,0,3,1,18,7,11,0,11,1,118109.48,0,0,11.6793757366058,20,NA,NA
"2479_30",2479,1,1,1,23,3,11,0,17,2,113776,0,0,11.6419956712845,25,NA,NA
"2479_171",2479,1,1,1,24,1,12,NA,NA,NA,113776,0,1,11.6419956712845,27,NA,NA
"2483_35",2483,1,1,1,21,1,12,NA,NA,NA,52737.89,0,1,10.8731084130419,23,NA,NA
"2483_36",2483,1,1,1,19,1,13,0,10,3,52737.89,0,1,10.8731084130419,21,NA,NA
"2490_39",2490,0,3,2,17,1,NA,NA,NA,NA,38340,1,1,10.5542750986799,20,NA,NA
"2492_172",2492,1,1,2,24,1,14,0,10,4,31250.11,1,1,10.3498101745337,27,2,3
"2500_33",2500,1,1,1,18,1,11,0,10,2,99087.81,0,1,11.5037717976963,20,NA,NA
"2515_49",2515,1,1,1,17,1,11,NA,NA,NA,118944,0,1,11.6864164803794,19,NA,NA
"2516_34",2516,1,1,1,20,1,12,0,13,2,48387.07,0,1,10.7870085747184,23,NA,NA
"2518_176",2518,1,1,2,27,3,12,0,13,3,70576,1,0,11.164459591367,28,NA,NA
"2524_30",2524,1,1,1,24,1,12,0,5,4,41546,0,1,10.6345805955108,26,NA,NA
"2524_32",2524,1,1,2,22,1,14,0,15,4,36820,1,1,10.5138236135709,24,NA,NA
"2524_36",2524,1,1,1,19,1,10,0,12,2,113485.01,0,1,11.6394348483946,22,NA,NA
