"person_id","ER30001","ER30002","ER32000","ER32006","year","volunteer","social_media","follow_interests","resp_earn","resp_rent","resp_bills","resp_money","wb_happiness","wb_interest","wb_satisfied","wb_belong","wb_society_better","wb_people_good","wb_manage_daily","wb_trusting_rel","wb_confident_ideas","wb_life_direction","feel_failure","emp1","cc_balance","cc_value","loan_federal","loan_state","loan_private","loan_other","edu_aspiration","edu_expectation","grade_level","hs_grad","attended_college","major","health","health_compare","health_better","learning_disorder","chronic","health_insurance","race","wellbeing_emo","wellbeing_soc","wellbeing_psy","social_anxiety","enrollment","highest_edu","mother_edu","father_edu","state","age","fam_income","interview_number","sequence_number","relation_rp","wb_happiness_lag","wb_interest_lag","wb_satisfied_lag","wb_belong_lag","wb_society_better_lag","wb_people_good_lag","wb_manage_daily_lag","wb_trusting_rel_lag","wb_confident_ideas_lag","wb_life_direction_lag","feel_failure_lag","wellbeing_emo_lag","wellbeing_soc_lag","wellbeing_psy_lag","social_anxiety_lag"
"1028_44",1028,44,1,2,2023,5,1,3,1,1,1,3,5,5,5,5,4,2,5,5,4,5,1,1,5,0,0,0,0,0,3,3,0,3,5,0,3,1,2,5,5,1,1,5,4,5,4,1,1,15,10,42,17,208348,6998,3,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1033_31",1033,31,2,2,2019,5,1,1,3,1,1,3,4,3,4,1,2,4,2,2,4,1,4,3,1,255,0,0,0,0,6,2,0,0,3,0,3,5,0,5,5,5,3,4,2,3,3,4,5,17,17,1,22,92800,9032,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1033_31",1033,31,2,2,2021,5,1,3,3,2,2,3,5,5,5,3,4,4,4,4,4,5,1,7,1,300,0,0,0,0,5,5,0,0,1,0,2,3,0,5,5,5,0,5,3,4,3,11,5,17,17,1,24,80369,7415,52,30,4,3,4,1,2,4,2,2,4,1,4,4,2,3,3
"1033_31",1033,31,2,2,2023,5,1,1,0,0,0,0,4,2,3,2,2,4,5,6,5,4,1,7,5,0,0,0,0,0,5,5,0,0,1,0,1,1,1,5,5,1,0,3,2,9,0,9,5,17,17,1,26,56459,2615,52,30,5,5,5,3,4,4,4,4,4,5,1,5,3,4,3
"1033_32",1033,32,2,2,2021,5,1,3,3,2,2,3,5,5,5,6,4,4,5,6,4,5,1,7,5,0,1,5,5,5,6,5,0,0,1,0,2,3,0,5,5,1,3,5,4,5,3,9,5,17,17,1,19,80369,7415,51,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1033_32",1033,32,2,2,2023,1,2,4,3,2,3,3,5,5,5,5,4,3,5,5,5,5,1,7,1,500,0,0,0,0,6,5,16,1,1,0,2,1,2,5,5,1,0,5,4,5,0,9,5,17,17,1,21,56459,2615,51,30,5,5,5,6,4,4,5,6,4,5,1,5,4,5,3
"1034_31",1034,31,1,2,2019,5,1,2,2,1,2,3,5,5,4,2,2,4,5,6,4,6,1,1,1,500,1,5,5,5,3,3,0,0,1,0,3,5,0,5,5,1,3,5,3,5,2,9,5,16,96,1,20,31000,8572,3,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1034_32",1034,32,1,2,2019,1,1,2,1,1,1,3,5,6,5,6,2,3,6,6,6,6,1,7,5,0,1,1,5,5,3,6,0,0,1,0,3,3,0,5,5,1,3,5,4,5,2,9,5,16,96,1,17,31000,8572,4,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036_32",1036,32,1,2,2019,1,1,1,2,1,1,2,6,6,5,6,3,3,4,5,4,5,1,3,5,0,0,0,0,0,5,5,0,3,5,0,1,3,0,5,5,1,1,6,4,5,3,1,1,16,15,37,17,137000,1653,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036_32",1036,32,1,2,2021,5,1,1,2,1,1,2,6,6,6,5,3,4,5,6,6,5,1,6,1,420,0,0,0,0,5,5,0,0,1,0,1,1,2,5,5,5,0,6,4,6,4,9,5,16,15,37,19,156215,76,51,30,6,6,5,6,3,3,4,5,4,5,1,6,4,5,3
"1036_32",1036,32,1,2,2023,5,1,1,2,1,1,2,6,6,5,6,4,5,6,6,6,5,1,3,5,0,0,0,0,0,5,5,16,1,1,0,1,5,0,5,5,1,0,6,5,6,0,4,5,16,15,37,21,165700,1283,51,30,6,6,6,5,3,4,5,6,6,5,1,6,4,6,4
"1036_33",1036,33,1,2,2019,1,1,3,1,1,1,2,5,5,4,6,4,4,6,5,4,4,2,1,5,0,0,0,0,0,4,5,0,3,5,0,2,1,2,5,5,1,1,5,4,5,3,1,1,17,16,45,17,202000,2618,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036_33",1036,33,1,2,2021,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,7,5,0,1,5,1,5,5,5,0,0,1,0,2,1,2,5,5,5,0,6,5,6,3,9,5,17,16,45,19,209263,547,3,30,5,5,4,6,4,4,6,5,4,4,2,5,4,5,3
"1036_33",1036,33,1,2,2023,1,1,1,1,1,1,1,6,6,4,2,1,2,2,2,6,6,2,7,5,0,0,0,0,0,5,5,0,0,1,0,1,1,1,5,5,1,0,5,2,4,0,9,5,17,16,45,21,249464,1853,51,30,6,6,6,6,6,6,6,6,6,6,1,6,5,6,3
"1036_34",1036,34,1,2,2021,5,4,4,1,1,1,3,2,2,3,2,1,1,4,2,3,2,1,7,5,0,0,0,0,0,5,5,0,3,5,0,1,3,0,5,5,1,1,2,2,4,5,1,1,17,16,45,17,209263,547,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036_34",1036,34,1,2,2023,5,1,4,1,1,3,3,5,5,4,6,1,1,5,3,3,6,1,1,5,0,0,0,0,0,6,6,0,0,1,0,1,3,0,5,5,1,0,5,3,4,0,9,5,17,16,8,19,249464,1853,52,30,2,2,3,2,1,1,4,2,3,2,1,2,2,4,5
"1036_35",1036,35,2,2,2021,1,1,1,1,1,1,2,5,6,4,6,3,2,5,4,5,6,1,7,5,0,0,0,0,0,5,5,0,3,5,0,2,1,1,5,5,1,1,5,4,5,4,1,1,17,16,45,17,209263,547,5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036_35",1036,35,2,2,2023,1,1,1,1,1,1,3,6,6,6,6,6,2,5,5,5,6,1,3,5,0,5,5,1,5,5,5,0,0,1,0,1,5,0,5,5,5,0,6,5,5,0,9,5,17,16,45,19,249464,1853,53,30,5,6,4,6,3,2,5,4,5,6,1,5,4,5,4
"1038_33",1038,33,2,2,2019,1,2,5,2,2,2,3,3,3,2,3,2,3,3,5,2,2,2,1,5,0,0,0,0,0,3,4,0,0,3,23,2,1,2,5,1,1,1,3,2,3,4,6,9,16,16,13,23,41500,3731,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038_33",1038,33,2,2,2021,5,3,3,0,0,0,0,4,3,2,1,1,2,4,4,2,1,2,1,5,0,0,0,0,0,8,0,0,0,5,0,2,3,0,5,5,1,0,3,1,2,4,6,9,16,16,55,25,108000,5288,2,20,3,3,2,3,2,3,3,5,2,2,2,3,2,3,4
"1038_33",1038,33,2,2,2023,1,5,5,0,0,0,0,4,4,3,1,1,5,6,4,5,4,2,1,5,0,0,0,0,0,8,0,0,0,5,0,2,3,0,5,5,1,0,4,2,4,0,6,9,16,16,26,27,298565,4849,2,20,4,3,2,1,1,2,4,4,2,1,2,3,1,2,4
"1038_34",1038,34,2,2,2019,5,3,4,2,2,2,2,5,5,5,5,1,4,5,6,4,6,2,1,5,0,0,0,0,0,5,5,0,0,1,0,2,3,0,5,5,1,1,5,3,5,5,9,5,16,16,26,20,45010,3563,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038_34",1038,34,2,2,2021,5,2,4,2,2,2,2,5,5,5,1,2,4,6,5,4,5,1,1,5,0,0,0,0,0,8,0,0,0,1,51,2,3,0,5,5,1,0,5,3,5,4,6,5,16,16,26,22,87150,3851,2,20,5,5,5,5,1,4,5,6,4,6,2,5,3,5,5
"1038_34",1038,34,2,2,2023,5,2,3,0,0,0,0,5,5,5,5,1,4,6,6,6,6,1,1,5,0,0,0,0,0,8,0,0,0,5,0,2,3,0,5,5,1,0,5,4,6,0,4,5,16,16,26,24,109200,3911,2,20,5,5,5,1,2,4,6,5,4,5,1,5,3,5,4
"1043_179",1043,179,1,3,2021,5,1,2,0,0,0,0,5,4,5,1,1,1,5,5,5,4,2,1,5,0,0,0,0,0,2,2,0,0,5,0,4,3,0,1,5,1,1,5,2,5,4,3,3,12,96,26,25,44344,5812,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043_38",1043,38,2,2,2019,5,1,5,2,2,2,3,5,5,5,3,1,2,3,5,3,5,2,2,1,1200,1,5,5,5,5,5,0,0,3,0,2,3,0,5,5,1,1,5,2,4,4,5,5,14,12,26,24,24000,2465,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043_38",1043,38,2,2,2021,5,1,1,0,0,0,0,5,5,5,5,5,5,4,4,4,4,2,1,1,2000,1,5,5,5,8,0,0,0,5,0,2,3,0,5,1,1,0,5,5,4,3,4,5,14,12,26,26,65670,4300,2,20,5,5,5,3,1,2,3,5,3,5,2,5,2,4,4
"1043_38",1043,38,2,2,2023,5,1,1,0,0,0,0,5,6,5,5,4,4,3,5,5,4,2,1,5,0,1,5,5,5,4,4,0,0,1,0,2,3,0,5,5,1,0,5,4,5,0,10,5,14,12,26,28,82476,5553,2,20,5,5,5,5,5,5,4,4,4,4,2,5,5,4,3
"1043_39",1043,39,1,2,2021,5,1,5,1,1,1,1,4,4,3,1,1,2,1,4,6,1,2,3,5,0,0,0,0,0,3,3,0,0,5,0,3,3,0,5,5,1,1,4,1,3,3,3,3,12,96,26,18,18600,4629,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043_39",1043,39,1,2,2023,5,1,2,1,1,1,3,4,4,4,1,1,2,4,4,6,1,2,6,5,0,0,0,0,0,3,3,0,0,5,0,4,1,2,5,5,5,0,4,1,4,0,3,3,12,96,26,20,6825,4536,2,30,4,4,3,1,1,2,1,4,6,1,2,4,1,3,3
"1047_34",1047,34,1,2,2019,1,1,1,3,1,1,3,6,5,6,6,2,1,6,6,6,6,1,1,5,0,0,0,0,0,5,5,0,1,1,0,1,1,2,5,5,1,1,6,3,6,2,9,5,14,12,6,17,50000,579,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048_203",1048,203,2,3,2019,5,2,3,3,3,3,3,4,4,1,1,1,1,5,2,1,1,2,2,1,1800,0,0,0,0,6,4,0,0,3,0,1,3,0,5,5,1,5,3,1,3,5,4,5,10,12,40,20,24500,8882,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048_203",1048,203,2,3,2021,1,2,1,3,3,3,3,4,4,3,1,1,1,4,5,3,4,2,1,1,3900,0,0,0,0,8,0,0,0,5,0,2,3,0,5,5,5,0,4,1,4,5,4,5,10,12,40,21,71946,3741,2,22,4,4,1,1,1,1,5,2,1,1,2,3,1,3,5
"1048_203",1048,203,2,3,2023,5,2,1,3,3,3,3,4,4,3,1,1,1,3,4,4,2,4,1,1,5600,0,0,0,0,6,6,0,0,5,0,1,3,0,5,5,5,0,4,1,3,0,4,5,10,12,40,23,74000,5178,2,22,4,4,3,1,1,1,4,5,3,4,2,4,1,4,5
"1048_247",1048,247,1,3,2019,5,1,1,0,0,0,0,4,4,4,1,4,4,5,4,6,5,1,6,5,0,0,0,0,0,8,0,0,3,5,0,2,3,0,5,5,5,1,4,3,5,2,1,1,11,12,40,24,59454,9314,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048_247",1048,247,1,3,2021,5,5,5,0,0,0,0,4,5,4,1,1,2,5,1,5,1,1,1,5,0,0,0,0,0,8,0,0,3,5,0,1,3,0,5,5,5,0,4,2,3,3,1,1,11,12,40,26,37480,6483,1,10,4,4,4,1,4,4,5,4,6,5,1,4,3,5,2
"1048_41",1048,41,2,2,2021,5,1,2,3,1,1,3,4,4,4,1,1,2,4,2,6,4,1,6,5,0,0,0,0,0,8,0,0,1,5,0,2,3,0,5,1,5,5,4,1,4,5,3,3,10,11,48,18,47840,7980,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048_41",1048,41,2,2,2023,5,1,2,1,1,1,2,5,4,4,1,2,3,4,4,6,5,1,6,5,0,0,0,0,0,8,0,0,1,5,0,3,3,0,5,1,1,0,4,2,5,0,3,3,10,11,40,20,109064,8012,3,35,4,4,4,1,1,2,4,2,6,4,1,4,1,4,5
"1048_42",1048,42,1,2,2021,5,1,2,3,3,3,3,4,4,5,1,1,1,4,2,5,1,1,1,1,3500,0,0,0,0,5,5,0,0,5,0,1,3,0,5,5,1,1,4,1,4,3,3,3,11,14,45,19,17530,3926,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048_42",1048,42,1,2,2023,5,2,2,3,2,3,3,4,3,4,1,1,2,5,6,6,2,2,1,1,5000,0,0,0,0,3,1,0,0,5,0,1,3,0,5,5,1,0,4,2,5,0,3,3,11,14,45,21,35001,4134,1,10,4,4,5,1,1,1,4,2,5,1,1,4,1,4,3
"1048_44",1048,44,2,2,2023,5,1,2,3,3,3,3,4,3,3,4,1,4,2,4,4,3,4,7,5,0,0,0,0,0,5,5,0,0,1,0,3,5,0,1,5,1,1,3,3,3,5,11,3,13,12,40,19,80000,5250,3,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048_45",1048,45,1,2,2023,5,1,2,3,3,1,3,4,5,5,1,5,4,6,2,5,6,1,3,5,0,0,0,0,0,8,0,0,3,5,0,2,1,1,5,5,5,5,5,2,5,4,1,1,10,11,40,19,109064,8012,4,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048_46",1048,46,1,2,2023,5,1,3,2,1,1,3,6,5,4,1,5,2,5,6,5,4,4,3,5,0,0,0,0,0,1,1,0,0,5,0,5,3,0,5,5,5,1,5,3,5,4,3,3,9,12,22,18,45000,6363,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048_47",1048,47,2,2,2021,5,1,3,3,3,3,3,3,2,3,1,1,1,5,5,6,3,2,3,5,0,0,0,0,0,4,4,10,0,5,0,3,3,0,5,5,1,1,3,1,5,3,1,1,11,14,40,17,25000,7578,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048_47",1048,47,2,2,2023,5,1,5,3,3,3,3,3,3,4,2,1,1,3,5,5,6,1,1,1,10,0,0,0,0,1,1,0,3,5,0,4,3,0,5,5,1,0,3,2,5,0,1,1,11,14,40,20,20910,8750,1,10,3,2,3,1,1,1,5,5,6,3,2,3,1,5,3
"1048_48",1048,48,1,2,2023,5,1,4,3,1,2,3,4,4,3,1,3,4,4,3,5,5,3,3,5,0,0,0,0,0,6,5,0,0,5,0,3,5,0,5,5,1,1,4,3,4,4,3,3,12,12,40,20,169400,9063,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1051_188",1051,188,1,3,2023,5,1,4,1,1,1,3,2,2,1,1,1,2,1,2,1,1,4,3,5,0,0,0,0,0,1,1,0,3,5,0,4,5,0,5,5,1,2,2,1,1,5,1,1,96,9,41,18,94812,5806,3,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1051_42",1051,42,2,2,2019,5,1,1,0,0,0,0,5,4,4,1,1,1,4,6,6,2,2,6,5,0,0,0,0,0,99,9,0,0,5,0,4,5,0,1,5,1,1,4,1,4,5,4,4,15,14,48,25,45700,6423,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1051_42",1051,42,2,2,2021,5,4,1,0,0,0,0,2,6,1,1,1,3,1,6,6,6,4,1,5,0,0,0,0,0,1,1,0,0,1,0,5,5,0,1,5,1,0,3,2,4,5,4,5,15,14,48,27,44601,8034,2,22,5,4,4,1,1,1,4,6,6,2,2,4,1,4,5
"1051_48",1051,48,2,2,2019,1,2,3,3,1,2,3,3,3,3,2,2,2,2,5,6,3,2,1,5,0,1,5,5,5,3,3,0,0,3,0,2,3,0,5,5,5,1,3,2,4,4,4,5,14,14,41,18,181000,7748,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1051_48",1051,48,2,2,2021,5,1,3,2,2,2,2,5,5,5,1,3,3,3,5,6,4,1,1,5,0,1,5,5,5,8,0,0,0,5,0,1,1,1,5,5,1,0,5,2,5,4,4,5,14,14,53,20,156433,4872,3,30,3,3,3,2,2,2,2,5,6,3,2,3,2,4,4
"1051_48",1051,48,2,2,2023,5,3,5,3,3,3,3,5,5,5,5,5,4,6,5,6,6,1,1,1,400,1,5,5,5,3,3,0,0,1,0,1,1,1,5,5,1,0,5,4,6,0,9,5,14,14,41,23,167600,6072,3,30,5,5,5,1,3,3,3,5,6,4,1,5,2,5,4
"1051_49",1051,49,2,2,2023,1,1,1,1,1,1,3,5,6,5,6,5,6,6,6,6,6,1,7,5,0,0,0,0,0,6,6,0,0,1,0,3,5,0,5,1,1,1,5,5,6,3,9,5,16,17,41,18,362800,5547,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055_182",1055,182,1,3,2023,1,1,1,3,2,2,3,5,6,6,6,2,4,5,6,5,5,1,1,5,0,0,0,0,0,5,5,0,0,1,0,4,5,0,5,1,1,5,6,4,5,3,9,5,0,14,5,19,80400,3397,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055_183",1055,183,2,3,2021,5,1,2,3,2,2,3,5,5,5,2,2,3,6,4,6,4,4,1,5,0,0,0,0,0,3,3,0,0,5,0,2,3,0,5,5,1,1,5,3,5,3,3,3,12,14,40,19,26120,7348,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055_183",1055,183,2,3,2023,5,1,1,1,1,1,1,5,5,5,1,2,4,5,6,6,4,2,6,5,0,0,0,0,0,8,0,0,0,5,0,2,3,0,5,5,1,0,5,3,5,0,3,3,0,14,40,20,36412,4004,1,10,5,5,5,2,2,3,6,4,6,4,4,5,3,5,3
"1055_184",1055,184,2,3,2023,5,2,2,2,2,2,2,5,4,4,1,1,3,5,5,5,4,1,6,5,0,0,0,0,0,1,1,0,1,5,0,1,1,1,5,9,5,1,4,2,5,3,3,3,0,14,40,17,80400,3397,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055_32",1055,32,1,2,2019,5,2,4,0,0,0,0,5,5,4,3,4,5,5,5,5,4,2,1,5,0,1,5,5,5,8,0,0,0,3,27,2,1,2,5,5,1,1,5,4,5,3,6,5,14,14,5,27,90000,2690,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105_185",105,185,2,3,2023,5,1,4,1,1,1,2,4,4,2,4,1,2,3,3,5,4,1,7,5,0,0,0,0,0,6,6,0,1,1,0,2,3,0,5,5,5,3,3,2,4,4,9,5,13,13,21,18,30758,4405,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105_37",105,37,2,2,2019,5,3,3,0,0,0,0,4,5,4,1,1,1,3,4,5,5,1,3,5,0,0,0,0,0,1,1,0,0,5,0,2,1,1,5,5,1,3,4,1,4,1,4,5,12,96,21,27,6250,6749,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105_38",105,38,1,2,2019,5,1,1,0,0,0,0,6,6,1,6,2,1,6,1,6,6,1,1,5,0,0,0,0,0,8,0,0,0,3,0,2,1,1,5,5,5,3,4,3,5,2,4,5,12,12,21,25,38000,4739,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105_38",105,38,1,2,2021,5,3,5,0,0,0,0,5,6,6,6,1,1,1,1,1,1,1,3,5,0,0,0,0,0,8,0,0,0,5,0,4,5,0,5,5,5,0,6,3,1,1,4,5,12,12,21,28,8885,7743,1,10,6,6,1,6,2,1,6,1,6,6,1,4,3,5,2
"105_39",105,39,2,2,2019,1,2,5,3,3,3,3,2,3,1,1,1,1,4,1,6,6,1,1,1,9999999999,5,5,1,5,5,3,0,0,3,0,4,5,0,5,5,5,5,2,1,5,2,4,3,14,13,21,23,19200,4639,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105_41",105,41,2,2,2019,5,1,1,3,3,3,3,6,6,6,6,6,6,6,6,6,6,1,1,5,0,0,0,0,0,8,0,0,0,5,0,2,3,0,5,5,5,3,6,6,6,5,4,3,12,12,21,22,62000,8672,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105_41",105,41,2,2,2021,5,1,1,3,3,3,3,6,6,6,6,6,6,6,6,6,6,1,3,5,0,1,5,5,5,3,1,0,0,5,0,3,3,0,5,5,1,0,6,6,6,2,3,3,12,12,21,23,19440,7801,2,30,6,6,6,6,6,6,6,6,6,6,1,6,6,6,5
"105_41",105,41,2,2,2023,5,1,1,0,0,0,0,6,6,6,6,6,6,6,6,6,6,1,1,5,0,0,0,0,0,3,3,0,0,5,0,2,1,2,5,5,5,0,6,6,6,0,3,3,12,12,21,25,0,7768,1,10,6,6,6,6,6,6,6,6,6,6,1,6,6,6,2
"105_42",105,42,2,2,2019,1,5,5,2,2,2,3,6,5,5,1,3,2,5,4,6,5,1,1,9,0,0,0,0,0,5,5,0,1,5,0,1,1,1,1,5,1,5,5,2,5,5,3,3,14,13,21,18,30400,6744,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105_43",105,43,2,2,2023,5,1,2,2,1,2,3,5,5,4,1,2,4,5,5,5,3,2,1,5,0,0,0,0,0,7,7,0,0,5,0,2,3,0,5,5,1,3,5,3,5,3,4,5,11,11,21,18,50400,6964,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060_32",1060,32,1,2,2019,1,2,4,3,3,3,3,3,3,2,1,1,2,2,2,3,2,2,1,5,0,0,0,0,0,6,6,0,0,3,0,2,3,0,5,5,1,1,3,1,2,3,4,5,17,15,16,22,26000,1775,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060_32",1060,32,1,2,2021,5,4,4,0,0,0,0,2,3,1,2,1,5,2,2,2,2,2,2,5,0,0,0,0,0,6,5,0,0,1,0,3,5,0,5,5,1,0,2,2,3,3,9,5,17,15,16,24,26000,4346,1,10,3,3,2,1,1,2,2,2,3,2,2,3,1,2,3
